Team,Score,Q1,Q2,Q3,Q4
Atlanta Falcons,36,7.0,10.0,3.0,10.0
Tampa Bay Buccaneers,30,10.0,14.0,3.0,3.0
Minnesota Vikings,23,10.0,7.0,0.0,6.0
New York Jets,17,0.0,7.0,3.0,7.0
Chicago Bears,36,7.0,20.0,3.0,6.0
Carolina Panthers,10,7.0,0.0,3.0,0.0
Cincinnati Bengals,38,0.0,17.0,7.0,14.0
Baltimore Ravens,41,7.0,7.0,7.0,17.0
New England Patriots,10,7.0,0.0,3.0,0.0
Miami Dolphins,15,3.0,0.0,6.0,6.0
Washington Commanders,34,7.0,17.0,10.0,0.0
Cleveland Browns,13,0.0,3.0,3.0,7.0
Jacksonville Jaguars,37,0.0,13.0,7.0,17.0
Indianapolis Colts,34,7.0,3.0,0.0,24.0
Houston Texans,23,14.0,3.0,3.0,3.0
Buffalo Bills,20,3.0,0.0,14.0,3.0
Denver Broncos,34,0.0,13.0,7.0,14.0
Las Vegas Raiders,18,10.0,0.0,0.0,8.0
San Francisco 49ers,23,10.0,13.0,0.0,0.0
Arizona Cardinals,24,7.0,3.0,3.0,11.0
Los Angeles Rams,19,0.0,13.0,0.0,6.0
Green Bay Packers,24,7.0,3.0,14.0,0.0
Seattle Seahawks,20,7.0,3.0,3.0,7.0
New York Giants,29,0.0,10.0,10.0,9.0
Pittsburgh Steelers,17,3.0,0.0,7.0,7.0
Dallas Cowboys,20,3.0,3.0,0.0,14.0
Kansas City Chiefs,26,7.0,9.0,0.0,10.0
New Orleans Saints,13,0.0,7.0,0.0,6.0
